call_number,title,author,status,language,location,category
c12-1_27616_17179_L_kr_1,바흐 (Johann Sebastian Bach),마르틴 게크,AVAILABLE,KR,C12-1,문학
c12-1_98365_66130_G_kr_1,Jeff Koons 제프 쿤스,라이날트 괴츠 (Rainald Götz),AVAILABLE,KR,C12-1,역사
c12-1_85401_97563_L_kr_1,파우스트 2,요한 볼프강 폰 괴테,AVAILABLE,KR,C12-1,문학
c12-1_33924_97563_L_kr_1,이피게니에 스텔라,요한 볼프강 폰 괴테,AVAILABLE,KR,C12-1,문학
c12-1_26673_97563_SZ_kr_1,빌헬름 마이스터의 수업시대 2,요한 볼프강 폰 괴테,AVAILABLE,KR,C12-1,사회과학
c12-1_43697_89883_L_kr_1,빌헬름 마이스터의 편력시대 1,괴테 (Johann Wolfgang von Goethe),AVAILABLE,KR,C12-1,문학
c12-1_49415_89883_L_kr_1,빌헬름 마이스터의 편력시대 2,괴테 (Johann Wolfgang von Goethe),AVAILABLE,KR,C12-1,문학
c12-1_35590_97563_L_kr_1,"진실, 지혜 그리고 괴테",요한 볼프강 폰 괴테,AVAILABLE,KR,C12-1,문학
c12-1_84960_60484_L_kr_1,괴테,J. W. V 괴테 / 金柱演 譯註(김주연 역주),AVAILABLE,KR,C12-1,문학
c12-1_19164_84960_L_kr_1,젊은 베르테르의 슬픔 (DIE LEIDEN DES JUNGEN WERTHERS),괴테,AVAILABLE,KR,C12-1,문학
c12-1_37653_84960_L_kr_1,젊은 베르테르의 슬픔 - 헤르만과 도로테아,괴테,AVAILABLE,KR,C12-1,문학
c12-1_13397_97563_L_kr_1,서동 시집 (GOETHE WEST-ÖSTLICHER DIVAN),요한 볼프강 폰 괴테,AVAILABLE,KR,C12-1,문학
c12-1_26445_97563_L_kr_1,서동 시집,요한 볼프강 폰 괴테,AVAILABLE,KR,C12-1,문학
c12-1_71512_84960_L_kr_1,"서동 시집 (西東 詩集, West-östlicher Divan)",괴테,AVAILABLE,KR,C12-1,문학
c12-1_94466_48652_L_kr_1,살아남은 자의 슬픔,브레히트,AVAILABLE,KR,C12-1,문학
c12-1_47936_84960_L_kr_1,예술론 Schriften zur Kunst,괴테,AVAILABLE,KR,C12-1,문학
c12-1_42165_84960_L_kr_1,프로메테우스(외),괴테,AVAILABLE,KR,C12-1,문학
c12-1_01368_53057_L_kr_1,양철북 1 Die Blechtrommel,귄터 그라스,AVAILABLE,KR,C12-1,문학
c12-1_25780_53057_L_kr_1,양철북 2 Die Blechtrommel,귄터 그라스,AVAILABLE,KR,C12-1,문학
c12-1_27058_91339_G_kr_1,Mein Jahrhundert 나의 세기 1,귄터 그라스 Günter Grass,AVAILABLE,KR,C12-1,역사
c12-1_99239_91339_G_kr_1,Mein Jahrhundert 나의 세기 2,귄터 그라스 Günter Grass,AVAILABLE,KR,C12-1,역사
c12-1_12285_53057_L_kr_1,무당개구리 울음 -談說(담설)-,귄터 그라스,AVAILABLE,KR,C12-1,문학
c12-1_90859_53057_G_kr_1,텔크테에서의 만남 Das Treffen in Telgte,귄터 그라스,AVAILABLE,KR,C12-1,역사
c12-1_30113_64837_L_kr_1,Medea 메데이아,프란츠 그릴파르처 Franz Grillparzer,AVAILABLE,KR,C12-1,문학
c12-2_96804_31713_L_kr_1,독일어판 완전 번역 그림 동화 1,그림 형제,AVAILABLE,KR,C12-2,문학
c12-2_68482_31713_L_kr_1,독일어판 완전 번역 그림 동화 2,그림 형제,AVAILABLE,KR,C12-2,문학
c12-2_82810_31713_L_kr_1,독일어판 완전 번역 그림 동화 3,그림 형제,AVAILABLE,KR,C12-2,문학
c12-2_25095_31713_L_kr_1,독일어판 완전 번역 그림 동화 4,그림 형제,AVAILABLE,KR,C12-2,문학
