call_number,title,author,status,language,location,category
a1-6_37966_99896_L_de_1,Ingeborg Bachmann Werke 2 Erzählungen,Christine Koschel et al.,대출 가능,DE,A1-6,문학
a1-6_98162_99896_L_de_1,Ingeborg Bachmann Werke 3 Todesarten: Malina und unvollendete Romane,Christine Koschel et al.,대출 가능,DE,A1-6,문학
a1-6_21892_99896_L_de_1,Ingeborg Bachmann Werke 4 Essays Reden Vermischte Schriften Anhang,Christine Koschel et al.,대출 가능,DE,A1-6,문학
a1-6_64616_10639_L_de_1,Gesammelte Gedichte Band I,Bertolt Brecht,대출 가능,DE,A1-6,문학
a1-6_16370_43528_L_de_1,Walter Benjamin Gesammelte Schriften Band V 1 Das Passagen-Werk Suhrkamp,Rolf Tiedemann,대출 가능,DE,A1-6,문학
a1-6_64063_15023_L_de_1,Walter Benjamin Gesammelte Schriften Band I 1 Abhandlungen Suhrkamp,Rolf Tiedemann et al.,대출 가능,DE,A1-6,문학
a1-6_62938_15023_L_de_1,Walter Benjamin Gesammelte Schriften Band I 2 Abhandlungen Suhrkamp,Rolf Tiedemann et al.,대출 가능,DE,A1-6,문학
a1-6_55515_66091_SP_en_1,Dictionary of 501 German Verbs,Henry Strutz,대출 가능,EN,A1-6,어학
a1-6_71792_51955_L_de_1,Vergebliche Aufzeichnungen Nachtstück Nachwort vom K. M. Michel,Wolfgang Hildesheimer,대출 가능,DE,A1-6,문학
a1-6_80584_83344_L_de_1,"Gedichte und Interpretationen Klassik und Romantik, Band 3",Wulf Segebrecht,대출 가능,DE,A1-6,문학
a1-6_75948_62531_SZ_de_1,Brauchen wir Tabus?,H.Peter Horn,대출 가능,DE,A1-6,사회과학
a1-6_12546_96752_S_de_1,LUDWIG VAN BEETHOVEN Heiligenstädter Testament,Hedwig M. von A S O W,대출 가능,DE,A1-6,기타
a1-6_02788_40505_S_de_1,"Ludwig van Beethovens Symphonien. Geschichtlich und musikalisch analysiert, mit zahlreichen Notenbeispielen",Max Chop,대출 가능,DE,A1-6,기타
a1-7_11481_90802_S_de_1,Die Bibel,Bischöfe,대출 가능,DE,A1-7,기타
a1-7_11481_90802_S_de_2,Die Bibel,Bischöfe,대출 가능,DE,A1-7,기타
a1-7_48160_92841_L_de_1,Die Geschwister von Neapel,Franz Werfel,대출 가능,DE,A1-7,문학
a1-7_86992_92841_L_de_1,Barbara oder die Frömmigkeit,Franz Werfel,대출 가능,DE,A1-7,문학
a1-7_30196_92841_L_de_1,Die tanzenden Derwische,Franz Werfel,대출 가능,DE,A1-7,문학
a1-7_97341_92841_L_de_1,Die schwarze Messe,Franz Werfel,대출 가능,DE,A1-7,문학
a1-7_62349_92841_L_de_1,Weissenstein der Weltverbesserer,Franz Werfel,대출 가능,DE,A1-7,문학
a1-7_62235_92841_L_de_1,Die vierzig Tage des Musa Dagh,Franz Werfel,대출 가능,DE,A1-7,문학
a1-7_18000_92841_L_de_1,Cella oder die Überwinder,Franz Werfel,대출 가능,DE,A1-7,문학
a1-7_75244_92841_L_de_1,Der Abituriententag,Franz Werfel,대출 가능,DE,A1-7,문학
a1-7_69090_92841_L_de_1,Der veruntreute Himmel,Franz Werfel,대출 가능,DE,A1-7,문학
a1-7_75463_92841_L_de_1,Gedichte aus den Jahren 1908-1945,Franz Werfel,대출 가능,DE,A1-7,문학
a1-7_25091_92841_L_de_1,Das Lied von Bernadette,Franz Werfel,대출 가능,DE,A1-7,문학
a1-7_95469_92841_L_de_1,Stern der Ungeborenen,Franz Werfel,대출 가능,DE,A1-7,문학
a1-7_44224_92841_L_de_1,Höret die Stimme,Franz Werfel,대출 가능,DE,A1-7,문학
a1-7_98930_92841_L_de_1,Die Entfremdung,Franz Werfel,대출 가능,DE,A1-7,문학
a1-7_41700_92841_L_de_1,"Leben heißt, sich Mitteilen",Franz Werfel,대출 가능,DE,A1-7,문학
b1-1_29561_77805_SP_de_1,Die Deutsche Sprache,Hennig Brinkmann,대출 가능,DE,B1-1,어학
b1-1_18879_64630_SP_de_1,Einführung in die Linguistik,Karl-Dieter Bünting,대출 가능,DE,B1-1,어학
b1-1_00434_14582_SP_de_1,Lexikon der Sprachwissenschaft,Hadumod Bußmann,대출 가능,DE,B1-1,어학
b1-1_12305_05384_S_de_1,Negative Dialektik,Theodor W. Adorno,대출 가능,DE,B1-1,기타
b1-1_35299_32085_SP_de_1,Valenzsyntax und Valenzlexikographie,Vilmos Agel,대출 가능,DE,B1-1,어학
b1-1_12363_09607_SZ_de_1,Österreichische Gesetze,Alfred Schwarzer et al.,대출 가능,DE,B1-1,사회과학
b1-1_47189_60097_SP_de_1,Soziolinguistik Soziolinguistik HSK 3.1,Ulrich Ammon et al.,대출 가능,DE,B1-1,어학
b1-1_03798_87551_SP_de_1,Sprechen und Situation,Klaus Bayer,대출 가능,DE,B1-1,어학
b1-1_29561_55376_SP_de_1,Die Deutsche Sprache,Otto Behaghel,대출 가능,DE,B1-1,어학
b1-1_29561_55376_SP_de_2,Die Deutsche Sprache,Otto Behaghel,대출 가능,DE,B1-1,어학
b1-1_08144_75958_SP_kr_1,언어기호론,페터 슈미터 et al.,대출 가능,KR,B1-1,어학
b1-1_04916_82359_L_de_1,Jedes Wort wandelt die Welt,William J. Dodd,대출 가능,DE,B1-1,문학
b1-1_73705_00446_SP_de_1,Einführung in die Semiotik,Umberto Eco,대출 가능,DE,B1-1,어학
b1-1_82711_17850_SP_de_1,Linguistische Studien I,Hugo Moser,대출 가능,DE,B1-1,어학
b1-1_70534_17850_SP_de_1,Linguistische Studien II,Hugo Moser,대출 가능,DE,B1-1,어학
b1-1_68008_17850_SP_de_1,Linguistische Studien III,Hugo Moser,대출 가능,DE,B1-1,어학
b1-1_46337_17850_SP_de_1,Linguistische Studien IV,Hugo Moser,대출 가능,DE,B1-1,어학
b1-1_99488_17850_SP_de_1,Satz und Wort im heutigen Deutsch,Hugo Moser,대출 가능,DE,B1-1,어학
b1-1_39865_17850_SP_de_1,Studien zur Syntax des heutigen Deutsch,Hugo Moser,대출 가능,DE,B1-1,어학
b1-1_13711_17850_SP_de_1,"Sprachnorm, Sprachpflege, Sprachkritik",Hugo Moser,대출 가능,DE,B1-1,어학
b1-1_93492_17850_SP_de_1,Sprachsystem und Sprachgebrauch I,Hugo Moser,대출 가능,DE,B1-1,어학
b1-1_69229_17850_SP_de_1,Linguistische Probleme der Textanalyse,Hugo Moser,대출 가능,DE,B1-1,어학
b1-1_47874_17850_SP_de_1,Sprachsystem und Sprachgebrauch II,Hugo Moser,대출 가능,DE,B1-1,어학
b1-1_62194_17850_SP_de_1,Das Verb,Hugo Moser,대출 가능,DE,B1-1,어학
