location,title,author,
C12-1,요한 파우스트 박사이야기,,
C12-4,부의 연금술,,
C12-5,카프카,,
C13-3,Brecht für Anfänger und Fortgeschrittene,,
c13-6,어드벤처 여행 진짜 여행은 Sightseeing이 아니라 Experience입니다,,
c13-6,LITERATUR UND KRITIK,,
c13-6,ÖSTERREICH IN GESCHICHTE UND LITERATUR MIT GEOGRAPHIE,,
c13-6,ÖSTERREICH IN GESCHICHTE UND LITERATUR MIT GEOGRAPHIE,,
c13-6,ÖSTERREICH IN GESCHICHTE UND LITERATUR MIT GEOGRAPHIE,,
c13-6,ÖSTERREICH IN GESCHICHTE UND LITERATUR MIT GEOGRAPHIE,,
C12-1,문학과 진실,,
C16-3,世界文學全集 全100卷 (세계문학전집 전100권),,
C16-1,NIMM DEIN LEBEN IN DIE HAND - ERZÄHLER UNSERER ZEIT 4,,
C16-1,Geschichte von Alt-Heidelberg,,
C16-1,Deutsche Lyrik - DER GEGENWART,,
C16-1,DAS DEUTSCHE GEDICHT - Vom Mittelalter bis zum 20. Jahrhundert,,
C16-2,Deutsche Literaturgeschichte in Frage und Antwort Band 1,,
C16-2,Deutsche Literaturgeschichte in Frage und Antwort Band 2,,
C17-2,Das Liechtensteinen Wimmelbuch,,
C17-2,DIE BIBEL - LUTHERÜBERSETZUNG,,
C17-4,Rap trifft Klassiker - Balladen einmal ganz anders,,
C17-4,Kinderlieder,,
C17-4,Reclams Leidführer,,
,Grundkurse und Leistungskurse Geschichte - Bibliographische Hinweise,,
,Die Bundesrepublik Deutschland 1949-1963/66 Die Ära Adenauer ,,
C8-6,Wissenschaftliche Kommission des Theodor-Kömer-Stiftungsfonds und des Leopold-Kunschak-Preises zur Erforschung der österreichischen Geschichte der Jahre 1918 bis 1938 - Veröffentlichungen Band 7 - Anschluss 1938,,
C17-5,VADE MECUM-Deutscher Lehr- und Forschungsstätten Stätten der Forschung,,
C17-5,VADE MECUM-Deutscher Lehr- und Forschungsstätten Stätten der Forschung,,
,"Deutschland erzählt, von Arthur Schnitzler bis Uwe Johnson",Benno von Wiese,
,Tatsachen über Deutschland,Societätsverlag,
,Tatsachen über Deutschland,Societätsverlag,
,EINFÜHRUNG IN DIE LITERATUR DES DEUTSCHEN SPRACHRAUMES VON IHREN ANFÄNGEN BIS ZUR GEGENWART TEIL I - Mit besonderer Berücksichtigung des östereichischen Schrifttums,"Herbert Pochlatko, Karl Koweindl, Josef Pongratz",
,EINFÜHRUNG IN DIE LITERATUR DES DEUTSCHEN SPRACHRAUMES VON IHREN ANFÄNGEN BIS ZUR GEGENWART TEIL II - Mit besonderer Berücksichtigung des östereichischen Schrifttums,"Herbert Pochlatko, Karl Koweindl, Josef Pongratz",
,EINFÜHRUNG IN DIE LITERATUR DES DEUTSCHEN SPRACHRAUMES VON IHREN ANFÄNGEN BIS ZUR GEGENWART TEIL Ⅲ - Mit besonderer Berücksichtigung des östereichischen Schrifttums,"Herbert Pochlatko, Karl Koweindl, Josef Pongratz",
,Deutsche AKADEMIE FÜR SPRACHE UND DICHTUNG - Jahrbuch 2011,Wallstein,
,Leonhard - Chronik einer Kindheit,Fritz Alexander Kauffmann,
,Jahrbuch 2016/2017 - DEUTSCHE AKADEMIE FÜR SPRACHE UND DICHTUNG,deutsche Akademie für Sprache und Dichtung,
,Preise 2017 - Deutsche AKADEMIE FÜR SPRACHE UND DICHTUNG,deutsche Akademie für Sprache und Dichtung,
,Geschichte der deutschen Sprache,Walter de Gruyter,
,Wege der deutschen Literatur - Eine geschichtliche Darstellung,"Glaser, Lehmann, Lubos",
,"Gedichtbuch für Hugo May - Faksimile Edition, Band 1 Faksimile",Else Lasker-Schüler,
,"Gedichtbuch für Hugo May - Faksimile Edition, Band 2 Text und Kommentar",Else Lasker-Schüler,
,Das Werk - Mit einem Essay von Michael Lentz,Jesse Thoor,
,Gesammelte Werk,Rainer Maria Rilke,
,DIE MUSIKWELT DES BAROCK,Bernhard Morbach,
,Basiswissen Barockmusik - Band 1 : Zur Instrumentalmusik des Hoch- und Spätbarock,Karl Kaiser,
,Basiswissen Barockmusik - Band 2 : Die barocke Oper. Aspekte der Annäherung,Michael Schneider,
,Bach - Musik für die Himmelsburg,John Eliot Gardiner,
,Teste Dein Deutsch! - Stufe 1 Ein Testbuch für Anfänger,M. Zingel,
,Die Musik des 17. und 18. Jahrhunderts,Briger Petersen,
,Gitarrenbuch der Liedermacher,Peter Bursch,
,Fit fürs Zertifikat Deutsch - Tipps und Übungen,"Sabine Dinsel, Monika Reimann",
